Timestamp;matlab_p;matlab_x;matlab_y;matlab_z
14;7.396000E+000;-6.294400E+004;1.024000E+003;3.779136E+006
42;6.901897E+000;1.674750E+005;6.350400E+004;3.818116E+006
70;7.057663E+000;4.302720E+005;4.665600E+004;3.802500E+006
97;7.139596E+000;4.199040E+005;4.665600E+004;3.759721E+006
125;7.220892E+000;7.470090E+005;1.062760E+005;3.892729E+006
152;7.179163E+000;1.451250E+005;5.625000E+003;3.825936E+006
180;7.232856E+000;5.135200E+005;6.864400E+004;3.900625E+006
207;7.292348E+000;3.746130E+005;1.095610E+005;3.849444E+006
233;7.224059E+000;7.288420E+005;1.391290E+005;3.779136E+006
260;7.202120E+000;5.434440E+005;7.617600E+004;3.892729E+006
288;7.098611E+000;6.262460E+005;1.062760E+005;3.736489E+006
316;7.266484E+000;4.912770E+005;6.200100E+004;3.744225E+006
343;7.246477E+000;5.389580E+005;7.507600E+004;3.818116E+006
370;7.152049E+000;3.757650E+005;8.820900E+004;3.794704E+006
398;7.244893E+000;2.920400E+005;4.536900E+004;3.818116E+006
425;7.057953E+000;7.499140E+005;1.466890E+005;3.736489E+006
452;6.955220E+000;8.006280E+005;9.610000E+002;3.892729E+006
479;7.264361E+000;4.975390E+005;6.708100E+004;3.713329E+006
506;7.161032E+000;3.835650E+005;3.802500E+004;3.869089E+006
532;7.127640E+000;5.061960E+005;1.398760E+005;3.794704E+006
560;7.175180E+000;5.229360E+005;3.385600E+004;3.736489E+006
587;7.004604E+000;7.387200E+004;1.444000E+003;3.794704E+006
615;7.192721E+000;7.406980E+005;1.062760E+005;3.786916E+006
643;7.244979E+000;5.104890E+005;6.708100E+004;3.786916E+006
670;7.065092E+000;1.190720E+005;3.721000E+003;3.690241E+006
697;7.433006E+000;2.469600E+005;1.587600E+004;3.940225E+006
725;7.124102E+000;3.888000E+005;4.000000E+004;3.794704E+006
752;7.153200E+000;6.167700E+005;2.044900E+004;3.767481E+006
780;7.110415E+000;3.459750E+005;7.617600E+004;3.767481E+006
807;7.121838E+000;4.866890E+005;5.428900E+004;3.786916E+006
834;7.193717E+000;5.515830E+005;7.784100E+004;3.833764E+006
861;7.088931E+000;3.900000E+005;4.000000E+004;3.849444E+006
888;7.063892E+000;5.902440E+005;9.180900E+004;3.794704E+006
915;7.518712E+000;1.272700E+005;4.225000E+003;3.948169E+006
944;6.834051E+000;4.562250E+005;5.616900E+004;3.818116E+006
971;7.047884E+000;6.926500E+005;3.481000E+003;3.849444E+006
998;7.128779E+000;6.084000E+005;9.734400E+004;3.759721E+006
1026;7.144856E+000;8.665710E+005;1.909690E+005;3.786916E+006
1054;7.303926E+000;2.922000E+004;2.250000E+002;3.705625E+006
1082;7.244070E+000;8.425560E+005;1.840410E+005;3.884841E+006
1109;7.074804E+000;8.766000E+004;1.346890E+005;3.759721E+006
1136;7.374458E+000;2.325260E+005;1.416100E+004;3.751969E+006
1163;7.315650E+000;4.595920E+005;9.548100E+004;3.736489E+006
1190;7.139458E+000;3.625930E+005;7.507600E+004;3.786916E+006
1217;7.294266E+000;5.439960E+005;1.612900E+004;3.900625E+006
1245;7.229009E+000;7.914520E+005;3.348900E+004;3.841600E+006
1272;7.249541E+000;2.671650E+005;6.241000E+003;3.857296E+006
1299;7.129241E+000;4.822500E+005;2.131600E+004;3.767481E+006
1326;7.072124E+000;6.317640E+005;8.236900E+004;3.825936E+006
1353;7.058029E+000;5.414750E+005;4.579600E+004;3.892729E+006
1381;7.010074E+000;4.610310E+005;5.712100E+004;3.759721E+006
1408;7.255899E+000;5.276920E+005;7.182400E+004;3.940225E+006
