Timestamp;matlab_p;matlab_x;matlab_y;matlab_z
14;6.937309E+000;4.760140E+005;9.486400E+004;3.833764E+006
42;6.903113E+000;4.826520E+005;1.102500E+004;3.948169E+006
68;6.934519E+000;3.796310E+005;3.724900E+004;3.884841E+006
95;6.898685E+000;4.139820E+005;6.400900E+004;3.759721E+006
123;6.948422E+000;6.708810E+005;1.149210E+005;3.849444E+006
150;6.955618E+000;4.949280E+005;6.350400E+004;3.857296E+006
178;6.948095E+000;4.690980E+005;2.528100E+004;3.818116E+006
205;6.865112E+000;1.070820E+005;2.916000E+003;3.876961E+006
232;6.825414E+000;4.885000E+005;8.410000E+004;3.841600E+006
260;6.941452E+000;4.552820E+005;5.428900E+004;3.869089E+006
287;6.889934E+000;3.160000E+004;4.410000E+004;3.892729E+006
315;6.930624E+000;5.470750E+005;8.410000E+002;3.833764E+006
342;6.946531E+000;4.213660E+005;4.579600E+004;3.841600E+006
369;6.882052E+000;4.998000E+005;4.536900E+004;3.916441E+006
397;6.926008E+000;-2.651860E+005;1.795600E+004;3.825936E+006
425;6.891304E+000;4.246250E+005;4.622500E+004;3.849444E+006
452;6.857241E+000;2.232120E+005;8.584900E+004;3.849444E+006
479;6.961316E+000;3.093480E+005;2.433600E+004;3.857296E+006
507;6.843499E+000;1.822520E+005;8.464000E+003;3.908529E+006
534;6.790295E+000;2.989620E+005;4.326400E+004;3.849444E+006
562;6.911037E+000;1.703460E+005;7.569000E+003;3.869089E+006
590;6.725930E+000;4.977000E+005;1.681000E+003;3.876961E+006
616;6.854266E+000;4.562140E+005;5.428900E+004;3.916441E+006
643;6.794370E+000;2.998960E+005;4.622500E+004;3.869089E+006
670;6.904637E+000;5.564930E+005;8.236900E+004;3.802500E+006
698;6.837799E+000;7.892000E+004;1.600000E+003;3.932289E+006
726;7.015277E+000;3.993010E+005;9.985600E+004;3.833764E+006
754;6.950983E+000;5.907120E+005;3.364000E+003;3.786916E+006
780;6.847730E+000;2.883500E+005;2.131600E+004;3.857296E+006
807;7.017404E+000;3.605420E+005;2.601000E+003;3.849444E+006
835;6.829680E+000;4.723600E+005;8.880400E+004;3.786916E+006
863;6.895638E+000;-2.140760E+005;1.188100E+004;3.833764E+006
890;7.034956E+000;4.222600E+005;4.622500E+004;3.900625E+006
918;6.904092E+000;6.286860E+005;1.011240E+005;3.857296E+006
945;6.855176E+000;2.038400E+005;1.081600E+004;3.825936E+006
973;6.912816E+000;2.288520E+005;8.820900E+004;3.857296E+006
1001;6.781611E+000;2.498090E+005;1.276900E+004;3.924361E+006
1028;6.881926E+000;2.133000E+005;1.716100E+004;3.869089E+006
1054;6.878553E+000;8.138500E+004;1.681000E+003;3.876961E+006
1082;6.902992E+000;8.163050E+005;3.097600E+004;3.892729E+006
