Timestamp;matlab_p;matlab_x;matlab_y;matlab_z
8;6.802382E+000;8.475950E+005;1.823290E+005;3.932289E+006
35;6.827066E+000;9.510270E+005;2.310400E+004;3.833764E+006
62;6.873093E+000;5.310900E+005;3.312400E+004;3.849444E+006
90;6.817935E+000;2.857950E+005;2.102500E+004;3.892729E+006
118;6.894462E+000;1.848980E+005;8.468100E+004;3.869089E+006
145;6.895575E+000;2.501100E+005;3.880900E+004;3.869089E+006
173;6.802796E+000;2.357080E+005;1.464100E+004;3.833764E+006
200;7.006926E+000;3.740310E+005;3.572100E+004;3.794704E+006
228;6.850981E+000;-4.528700E+005;7.569000E+003;3.924361E+006
255;6.768557E+000;3.560270E+005;4.494400E+004;3.825936E+006
283;6.960200E+000;1.331440E+005;5.522500E+004;3.869089E+006
310;6.781399E+000;4.209700E+005;4.622500E+004;3.876961E+006
337;6.866199E+000;5.774160E+005;9.363600E+004;3.892729E+006
363;6.808632E+000;3.562100E+005;3.312400E+004;3.940225E+006
390;6.860629E+000;2.621040E+005;3.348900E+004;3.841600E+006
418;6.821129E+000;5.931280E+005;4.225000E+003;3.869089E+006
446;6.882913E+000;3.524400E+005;3.240000E+004;3.884841E+006
472;6.635993E+000;2.756370E+005;1.932100E+004;3.841600E+006
499;6.833911E+000;3.701720E+005;3.534400E+004;3.940225E+006
525;6.794701E+000;6.474600E+004;6.300100E+004;3.759721E+006
552;6.824906E+000;2.584560E+005;1.822500E+004;3.892729E+006
580;6.860136E+000;2.170300E+004;1.840410E+005;3.924361E+006
608;6.766599E+000;6.050970E+005;9.424900E+004;3.892729E+006
635;7.024969E+000;4.103840E+005;1.960000E+004;3.932289E+006
662;6.818527E+000;5.263520E+005;7.182400E+004;3.833764E+006
690;6.861165E+000;2.144030E+005;1.188100E+004;3.869089E+006
716;6.831901E+000;4.005190E+005;4.120900E+004;3.900625E+006
744;6.945866E+000;2.137320E+005;1.166400E+004;3.869089E+006
771;6.824915E+000;4.811800E+005;6.002500E+004;3.810304E+006
798;6.824915E+000;2.810180E+005;2.016400E+004;3.818116E+006
825;6.736185E+000;4.292400E+005;4.796100E+004;3.916441E+006
852;6.997968E+000;3.012570E+005;2.340900E+004;3.892729E+006
