Timestamp;power_now;chassis_power
6;5.993328E+000;4.879928E+000
32;5.993967E+000;4.843257E+000
58;5.993277E+000;4.864429E+000
84;5.993881E+000;4.865826E+000
110;5.995154E+000;4.842482E+000
136;5.995036E+000;4.860789E+000
162;5.993366E+000;4.853950E+000
189;5.994277E+000;4.852867E+000
215;5.996085E+000;4.856384E+000
242;5.994445E+000;4.885240E+000
269;5.992949E+000;4.877943E+000
295;5.995706E+000;4.779967E+000
320;5.994133E+000;4.847991E+000
347;5.993362E+000;4.839587E+000
374;5.993112E+000;4.845819E+000
399;5.990721E+000;4.862914E+000
425;5.991839E+000;5.053616E+000
452;5.987776E+000;4.994380E+000
478;5.992252E+000;4.823389E+000
505;5.994733E+000;4.817043E+000
532;5.993559E+000;4.841459E+000
558;5.993844E+000;4.885136E+000
585;5.993792E+000;4.831661E+000
611;5.993148E+000;4.867598E+000
638;5.992983E+000;4.811763E+000
664;5.992887E+000;4.872042E+000
690;5.994867E+000;4.789675E+000
716;5.994461E+000;4.793581E+000
741;5.993056E+000;4.786053E+000
767;5.992738E+000;4.761849E+000
793;5.994024E+000;4.793198E+000
819;5.993423E+000;4.844872E+000
846;5.993548E+000;4.862026E+000
873;5.993543E+000;4.797997E+000
899;5.993048E+000;4.851215E+000
926;5.992654E+000;4.905301E+000
952;5.992842E+000;4.830022E+000
978;5.992922E+000;4.828755E+000
1005;5.992975E+000;4.794247E+000
1031;5.993180E+000;4.811311E+000
1058;5.993230E+000;4.842452E+000
1085;5.994123E+000;4.800037E+000
1111;5.993002E+000;4.859221E+000
1138;5.993070E+000;4.867730E+000
1165;5.995090E+000;4.784907E+000
1191;5.993679E+000;4.896538E+000
1217;5.993848E+000;4.805986E+000
1244;5.993343E+000;4.873816E+000
1269;5.995253E+000;4.821823E+000
1295;5.992852E+000;4.803512E+000
1321;5.994585E+000;4.845599E+000
1348;5.993371E+000;4.832236E+000
1374;5.993846E+000;4.819343E+000
1400;5.992851E+000;4.875650E+000
1426;5.993896E+000;4.884776E+000
1452;5.993975E+000;4.842973E+000
1479;5.992943E+000;4.846124E+000
1505;5.992932E+000;4.871377E+000
1530;5.993236E+000;4.836143E+000
1556;5.993304E+000;4.843080E+000
1583;5.994551E+000;4.862850E+000
1610;5.994738E+000;4.848405E+000
1637;5.993309E+000;4.834725E+000
1664;5.993274E+000;4.837992E+000
1690;5.993474E+000;4.811732E+000
1717;5.993054E+000;4.808428E+000
1743;5.993506E+000;4.804809E+000
1770;5.992771E+000;4.914035E+000
1797;5.992930E+000;4.891390E+000
1824;5.992797E+000;4.920128E+000
1850;5.993705E+000;4.824388E+000
1876;5.992656E+000;4.820285E+000
1902;5.993854E+000;4.801345E+000
1929;5.993902E+000;4.783632E+000
1955;5.993289E+000;4.840937E+000
1981;5.993195E+000;4.829927E+000
2007;5.993173E+000;4.852188E+000
2033;5.993210E+000;4.871691E+000
2060;5.992861E+000;4.860031E+000
2086;5.993244E+000;4.833596E+000
2113;5.992836E+000;4.888904E+000
2140;5.993362E+000;4.753281E+000
2166;5.993526E+000;4.814544E+000
2193;5.993233E+000;4.858145E+000
2220;5.992775E+000;4.797086E+000
2245;5.992635E+000;4.825130E+000
2271;5.993109E+000;4.862019E+000
2298;5.993377E+000;4.852953E+000
2324;5.992827E+000;4.827403E+000
2350;5.992929E+000;4.827403E+000
2376;5.993397E+000;4.850766E+000
2403;5.992780E+000;4.833620E+000
2429;5.994335E+000;4.866569E+000
2455;5.994672E+000;4.848854E+000
2481;5.993142E+000;4.823946E+000
2507;5.992926E+000;4.821468E+000
2534;5.994092E+000;4.833357E+000
2561;5.996363E+000;4.850985E+000
2588;5.994356E+000;4.863520E+000
2614;5.993206E+000;4.799061E+000
2640;5.994097E+000;4.869673E+000
2667;5.995109E+000;4.800002E+000
2694;5.993538E+000;4.929266E+000
2720;5.993676E+000;4.778010E+000
2746;5.992691E+000;4.931546E+000
2772;5.994959E+000;4.852986E+000
2799;5.993372E+000;4.916842E+000
2825;5.993392E+000;4.825529E+000
2851;5.993666E+000;4.843282E+000
2878;5.993282E+000;4.808051E+000
2905;5.993457E+000;4.870307E+000
2932;5.993389E+000;4.855081E+000
2958;5.992833E+000;4.798589E+000
2985;5.993616E+000;4.783941E+000
3012;5.994283E+000;4.816731E+000
3038;5.993231E+000;4.833313E+000
3064;5.993835E+000;4.851691E+000
3090;5.993509E+000;4.836547E+000
3117;5.993918E+000;4.848017E+000
3144;5.994186E+000;4.759138E+000
3170;5.993011E+000;4.899447E+000
3196;6.254743E+000;4.827106E+000
3223;1.320894E+001;5.143848E+000
3250;3.021841E+001;2.203410E+001
3277;4.744178E+001;3.783550E+001
3303;5.243226E+001;5.031096E+001
3330;5.121622E+001;5.441688E+001
3357;5.004459E+001;5.301537E+001
3383;4.888455E+001;5.248840E+001
3409;3.899263E+001;5.246877E+001
3435;2.749277E+001;4.537317E+001
3597;8.022050E-001;4.150153E-001
3624;1.826415E+000;4.320345E-001
3651;2.832576E+000;4.251520E-001
3677;3.584999E+000;9.026908E-001
3704;4.197881E+000;2.304511E+000
3731;4.825072E+000;2.775280E+000
3758;9.279163E+000;3.161904E+000
3784;1.947898E+001;4.357292E+000
3810;3.179590E+001;1.704357E+001
3836;4.964325E+001;2.626910E+001
3863;6.044827E+001;3.860766E+001
3890;5.976620E+001;6.422667E+001
3944;5.254452E+001;6.018067E+001
3970;4.699937E+001;5.227589E+001
3995;3.896810E+001;4.652987E+001
4076;4.137546E+000;9.623418E+000
4103;-1.039115E+000;2.149828E+000
4130;-4.821035E-001;4.170564E-001
4156;5.661383E-001;4.103414E-001
4182;1.350433E+000;4.227854E-001
4209;2.219020E+000;4.323087E-001
4236;2.993042E+000;9.332908E-001
4262;3.713438E+000;1.573726E+000
4289;4.345170E+000;2.151136E+000
4316;4.777965E+000;3.109303E+000
4343;6.451493E+000;3.429951E+000
4369;1.408380E+001;4.451199E+000
4396;2.186943E+001;9.478001E+000
4423;2.945824E+001;2.253797E+001
4449;3.788760E+001;2.891550E+001
